scenario,variant,seuil,t_star,AUC,AP,F1,Precision,Recall,Brier
S0_baseline,logreg,0.5,,0.7980379262285557,0.19455212805518926,0.01346902125112242,0.31690140845070425,0.006880733944954129,0.05160221668918272
S0_baseline,logreg,t*,0.13600320920857822,0.7980379262285557,0.19455212805518926,0.27790525725358217,0.20847678065947517,0.4166666666666667,0.05160221668918272
S0_baseline,logreg_bal,0.5,,0.7997637677857986,0.19216250236128476,0.24023090586145648,0.1432227320861278,0.7444954128440368,0.1873526766275147
S0_baseline,logreg_bal,t*,0.7285076910078688,0.7997637677857986,0.19216250236128476,0.2751587454300558,0.20072992700729927,0.43730886850152906,0.1873526766275147
S0_baseline,logreg_smote,0.5,,0.7928736706411625,0.18738399027260996,0.24528606831160435,0.14886868951085536,0.696177370030581,0.17085612237494124
S0_baseline,logreg_smote,t*,0.728442806397304,0.7928736706411625,0.18738399027260996,0.2737370118237191,0.20573978610448565,0.40886850152905196,0.17085612237494124
S0_baseline,rf_bal,0.5,,0.8039849050105384,0.2012315532184047,0.24599708879184862,0.14715066354410616,0.749388379204893,0.17732148966866776
S0_baseline,rf_bal,t*,0.6845465634384312,0.8039849050105384,0.2012315532184047,0.28272945013504563,0.2120308797676374,0.42415902140672784,0.17732148966866776
S0_baseline,lgbm,0.5,,0.8191068717943996,0.24199136043320843,0.04161747343565526,0.597457627118644,0.021559633027522937,0.04995969853098703
S0_baseline,lgbm,t*,0.15778380072948514,0.8191068717943996,0.24199136043320843,0.30323262671785456,0.23834514125776263,0.4166666666666667,0.04995969853098703
S0_baseline,xgb,0.5,,0.8170986654805531,0.23635710264130155,0.04745166959578207,0.5625,0.024770642201834864,0.050158935297131495
S0_baseline,xgb,t*,0.1637456864118576,0.8170986654805531,0.23635710264130155,0.30031282586027114,0.2417459429210968,0.3963302752293578,0.050158935297131495
